562786,1234008,1
219970,1234009,1
1204471,1234026,1
176864,1234001,1
439954,1234002,1
821772,1234003,1
1191708,1234004,1
600014,1234005,1
219970,1234006,1
249209,1234007,1
951239,1234010,1
1228721,1234010,1
1197469,1234011,1
269797,1234011,1
972689,1234012,1
125358,1234012,1
1197469,1234013,1
219970,1234013,1
1190881,1234014,1
235313,1234014,1
1073091,1234015,1
249209,1234015,1
1190881,1234016,1
190559,1234016,1
1236929,1234017,1
377002,1234017,1
150738,1234018,1
542288,1234018,1
190559,1234019,1
1197469,1234019,1
1073091,1234020,1
176864,1234020,1
821772,1234020,1
887101,1234021,1
600014,1234021,1
794039,1234021,1
219970,1234022,1
562786,1234022,1
794039,1234022,1
269797,1234023,1
521366,1234023,1
951239,1234023,1
1222497,1234024,1
123123,1234024,1
1177727,1234024,1
542288,1234025,1
1222497,1234025,1
125358,1234025,1
150738,1234027,1
1197469,1234027,1
439954,1234027,1
249209,1234028,1
439954,1234028,1
951239,1234028,1
542288,1234029,1
249209,1234029,1
972689,1234029,1
1238628,1234030,1
439954,1234030,1
235313,1234030,1
1190334,1234031,1
887101,1234031,1
377002,1234031,1
521366,1234031,1
269797,1234032,1
176864,1234032,1
493264,1234032,1
235313,1234032,1
300209,1234033,1
140649,1234033,1
794039,1234033,1
493264,1234033,1
269797,1234034,1
1204471,1234034,1
1228721,1234034,1
377002,1234034,1
725406,1234035,1
794039,1234035,1
1236929,1234035,1
557806,1234035,1
1228721,1234037,1
140649,1234037,1
964638,1234037,1
190559,1234037,1
269797,1234037,1
1229391,1234037,1
1193266,1234000,1
1228721,1234000,1
521366,1234000,1
821772,1234000,1
1067180,1234000,1
976985,1234000,1
125358,1234000,1
1190881,1234000,1
976985,1234036,1
542288,1234036,1
972689,1234036,1
794039,1234036,1
1051638,1234036,1
964638,1234036,1
300209,1234036,1
1236929,1234036,1
123123,1234036,1
189979,1234036,1
